weekday,Precinct,Number of Violation,Info
0,0,14557,Precinct: 0
0,1,2552,Precinct: 1
0,3,1,Precinct: 3
0,4,1,Precinct: 4
0,5,1033,Precinct: 5
0,6,1176,Precinct: 6
0,7,709,Precinct: 7
0,8,2,Precinct: 8
0,9,982,Precinct: 9
0,10,1397,Precinct: 10
0,12,2,Precinct: 12
0,13,2407,Precinct: 13
0,14,3404,Precinct: 14
0,16,3,Precinct: 16
0,17,2232,Precinct: 17
0,18,3493,Precinct: 18
0,19,4868,Precinct: 19
0,20,1784,Precinct: 20
0,22,9,Precinct: 22
0,23,796,Precinct: 23
0,24,1181,Precinct: 24
0,25,543,Precinct: 25
0,26,477,Precinct: 26
0,27,9,Precinct: 27
0,28,614,Precinct: 28
0,30,526,Precinct: 30
0,32,456,Precinct: 32
0,33,865,Precinct: 33
0,34,910,Precinct: 34
0,36,2,Precinct: 36
0,40,769,Precinct: 40
0,41,374,Precinct: 41
0,42,363,Precinct: 42
0,43,989,Precinct: 43
0,44,750,Precinct: 44
0,45,640,Precinct: 45
0,46,973,Precinct: 46
0,47,827,Precinct: 47
0,48,802,Precinct: 48
0,49,1005,Precinct: 49
0,50,666,Precinct: 50
0,51,1,Precinct: 51
0,52,1372,Precinct: 52
0,53,1,Precinct: 53
0,56,1,Precinct: 56
0,60,497,Precinct: 60
0,61,1432,Precinct: 61
0,62,1159,Precinct: 62
0,63,518,Precinct: 63
0,66,1392,Precinct: 66
0,67,771,Precinct: 67
0,68,1123,Precinct: 68
0,69,274,Precinct: 69
0,70,1532,Precinct: 70
0,71,629,Precinct: 71
0,72,602,Precinct: 72
0,73,394,Precinct: 73
0,74,1,Precinct: 74
0,75,574,Precinct: 75
0,76,360,Precinct: 76
0,77,862,Precinct: 77
0,78,1039,Precinct: 78
0,79,690,Precinct: 79
0,81,303,Precinct: 81
0,82,2,Precinct: 82
0,83,668,Precinct: 83
0,84,1694,Precinct: 84
0,86,1,Precinct: 86
0,87,1,Precinct: 87
0,88,665,Precinct: 88
0,89,2,Precinct: 89
0,90,1346,Precinct: 90
0,91,1,Precinct: 91
0,94,828,Precinct: 94
0,96,1,Precinct: 96
0,100,258,Precinct: 100
0,101,190,Precinct: 101
0,102,1037,Precinct: 102
0,103,1314,Precinct: 103
0,104,994,Precinct: 104
0,105,616,Precinct: 105
0,106,634,Precinct: 106
0,107,994,Precinct: 107
0,108,1223,Precinct: 108
0,109,1929,Precinct: 109
0,110,898,Precinct: 110
0,111,428,Precinct: 111
0,112,1483,Precinct: 112
0,113,367,Precinct: 113
0,114,2470,Precinct: 114
0,115,1430,Precinct: 115
0,120,318,Precinct: 120
0,121,163,Precinct: 121
0,122,313,Precinct: 122
0,123,93,Precinct: 123
0,124,1,Precinct: 124
0,418,1,Precinct: 418
0,419,1,Precinct: 419
0,662,1,Precinct: 662
0,905,1,Precinct: 905
0,924,1,Precinct: 924
1,0,15487,Precinct: 0
1,1,3020,Precinct: 1
1,2,5,Precinct: 2
1,4,2,Precinct: 4
1,5,1300,Precinct: 5
1,6,1539,Precinct: 6
1,7,790,Precinct: 7
1,8,6,Precinct: 8
1,9,1383,Precinct: 9
1,10,1465,Precinct: 10
1,12,5,Precinct: 12
1,13,2582,Precinct: 13
1,14,3878,Precinct: 14
1,15,5,Precinct: 15
1,16,1,Precinct: 16
1,17,2444,Precinct: 17
1,18,3746,Precinct: 18
1,19,5541,Precinct: 19
1,20,2038,Precinct: 20
1,22,8,Precinct: 22
1,23,913,Precinct: 23
1,24,1301,Precinct: 24
1,25,608,Precinct: 25
1,26,567,Precinct: 26
1,27,15,Precinct: 27
1,28,722,Precinct: 28
1,30,595,Precinct: 30
1,32,551,Precinct: 32
1,33,893,Precinct: 33
1,34,950,Precinct: 34
1,35,1,Precinct: 35
1,36,1,Precinct: 36
1,40,874,Precinct: 40
1,41,446,Precinct: 41
1,42,384,Precinct: 42
1,43,1163,Precinct: 43
1,44,835,Precinct: 44
1,45,744,Precinct: 45
1,46,1094,Precinct: 46
1,47,912,Precinct: 47
1,48,841,Precinct: 48
1,49,1109,Precinct: 49
1,50,691,Precinct: 50
1,51,1,Precinct: 51
1,52,1414,Precinct: 52
1,53,1,Precinct: 53
1,60,611,Precinct: 60
1,61,1567,Precinct: 61
1,62,1271,Precinct: 62
1,63,663,Precinct: 63
1,64,2,Precinct: 64
1,65,3,Precinct: 65
1,66,1581,Precinct: 66
1,67,808,Precinct: 67
1,68,1281,Precinct: 68
1,69,304,Precinct: 69
1,70,1831,Precinct: 70
1,71,597,Precinct: 71
1,72,722,Precinct: 72
1,73,471,Precinct: 73
1,75,747,Precinct: 75
1,76,521,Precinct: 76
1,77,921,Precinct: 77
1,78,1211,Precinct: 78
1,79,783,Precinct: 79
1,80,1,Precinct: 80
1,81,291,Precinct: 81
1,83,723,Precinct: 83
1,84,2075,Precinct: 84
1,86,1,Precinct: 86
1,87,3,Precinct: 87
1,88,814,Precinct: 88
1,89,2,Precinct: 89
1,90,1519,Precinct: 90
1,93,1,Precinct: 93
1,94,1009,Precinct: 94
1,100,230,Precinct: 100
1,101,227,Precinct: 101
1,102,1102,Precinct: 102
1,103,1552,Precinct: 103
1,104,1254,Precinct: 104
1,105,697,Precinct: 105
1,106,685,Precinct: 106
1,107,1231,Precinct: 107
1,108,1459,Precinct: 108
1,109,2246,Precinct: 109
1,110,1231,Precinct: 110
1,111,456,Precinct: 111
1,112,1599,Precinct: 112
1,113,397,Precinct: 113
1,114,2905,Precinct: 114
1,115,1656,Precinct: 115
1,118,1,Precinct: 118
1,119,2,Precinct: 119
1,120,353,Precinct: 120
1,121,153,Precinct: 121
1,122,288,Precinct: 122
1,123,103,Precinct: 123
1,124,1,Precinct: 124
1,125,1,Precinct: 125
1,152,1,Precinct: 152
1,174,1,Precinct: 174
1,183,1,Precinct: 183
1,224,1,Precinct: 224
1,230,1,Precinct: 230
1,333,1,Precinct: 333
1,401,1,Precinct: 401
1,407,1,Precinct: 407
1,422,1,Precinct: 422
1,423,1,Precinct: 423
1,447,1,Precinct: 447
1,507,1,Precinct: 507
1,762,1,Precinct: 762
1,978,1,Precinct: 978
2,0,15924,Precinct: 0
2,1,3042,Precinct: 1
2,2,2,Precinct: 2
2,3,3,Precinct: 3
2,4,2,Precinct: 4
2,5,1390,Precinct: 5
2,6,1557,Precinct: 6
2,7,878,Precinct: 7
2,8,1,Precinct: 8
2,9,1261,Precinct: 9
2,10,1547,Precinct: 10
2,11,1,Precinct: 11
2,12,1,Precinct: 12
2,13,2514,Precinct: 13
2,14,3720,Precinct: 14
2,15,2,Precinct: 15
2,16,1,Precinct: 16
2,17,2238,Precinct: 17
2,18,3719,Precinct: 18
2,19,5029,Precinct: 19
2,20,1876,Precinct: 20
2,22,5,Precinct: 22
2,23,791,Precinct: 23
2,24,1163,Precinct: 24
2,25,458,Precinct: 25
2,26,425,Precinct: 26
2,27,14,Precinct: 27
2,28,577,Precinct: 28
2,30,363,Precinct: 30
2,32,317,Precinct: 32
2,33,1006,Precinct: 33
2,34,1227,Precinct: 34
2,37,1,Precinct: 37
2,40,617,Precinct: 40
2,41,314,Precinct: 41
2,42,217,Precinct: 42
2,43,838,Precinct: 43
2,44,745,Precinct: 44
2,45,780,Precinct: 45
2,46,896,Precinct: 46
2,47,959,Precinct: 47
2,48,623,Precinct: 48
2,49,1110,Precinct: 49
2,50,846,Precinct: 50
2,52,1216,Precinct: 52
2,60,365,Precinct: 60
2,61,1568,Precinct: 61
2,62,1356,Precinct: 62
2,63,478,Precinct: 63
2,64,1,Precinct: 64
2,66,1560,Precinct: 66
2,67,460,Precinct: 67
2,68,1220,Precinct: 68
2,69,415,Precinct: 69
2,70,1774,Precinct: 70
2,71,388,Precinct: 71
2,72,854,Precinct: 72
2,73,297,Precinct: 73
2,75,565,Precinct: 75
2,76,417,Precinct: 76
2,77,569,Precinct: 77
2,78,1139,Precinct: 78
2,79,470,Precinct: 79
